,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,PM2.5AirPollution,OzoneAirPollution,Population,supprimer,Year
10,NGA,Anambra,128.480012728,27.5992334674,0.257063275134,22220.3300781,22167.9589844,27.5903070018,75.0772224783,5016327.0,5567.49023438,2013
11,NGA,Kano,70.7332193577,27.1944319768,0.109658375153,96773.2001343,96640.0216675,42.5141474667,56.3893413906,11792431.0,24090.7304688,2013
12,NGA,Nasarawa,88.9709098484,26.6065664076,0.0275796097396,124333.999023,124193.588867,29.9436771277,71.9223953196,2251186.96875,31118.7509766,2013
13,NGA,Kebbi,76.6169453676,28.630237878,0.0161221747275,177937.972656,177699.670898,31.6185596305,56.6024568426,3915795.13281,43823.9597168,2013
14,NGA,Kaduna,88.8045353174,25.7696913134,0.125070156098,214478.190918,214284.410156,33.6402330952,61.4616494731,7684527.6875,53634.0571289,2013
15,NGA,Katsina,65.6914938446,27.4267023451,0.0381645860354,116188.556396,116044.496582,38.8602831895,55.7297252249,7196623.32812,29059.6501465,2013
16,NGA,Plateau,84.2892179533,26.0954827531,0.047746553453,123471.141479,123341.411255,30.614133248,64.9900644124,3843628.09375,30900.0196533,2013
17,NGA,Edo,120.07556171,26.629021147,1.13162456481,92249.3896484,92129.1904297,18.7089767903,74.7576393924,4055576.75,23091.9199219,2013
18,NGA,Oyo,78.6884307826,27.0468045588,0.0676738480911,130794.812538,130669.649815,28.3540366198,77.7989344825,6969428.41406,32720.4894905,2013
19,NGA,Jigawa,57.6276994625,27.9183055438,0.0320095783531,112368.411102,112180.990707,49.8216787878,57.3530943476,5152990.84961,28138.7783203,2013
20,NGA,Cross River,186.491194262,27.2392699642,0.0235764927207,98984.2597656,98866.7001953,21.9957699147,69.7784439711,3239580.1875,24732.8903809,2013
21,NGA,Taraba,98.1905716563,27.5178866193,0.00313334546212,277984.461258,277778.778625,27.1303333546,69.565904027,2747345.3125,69547.1396484,2013
22,NGA,Rivers,186.909277298,27.328590633,3.95720575888,45543.1912231,45405.2705688,14.9243990046,69.0829767854,6423623.0,11378.0605469,2013
23,NGA,Ekiti,80.2528889047,25.992930113,0.066524550374,27346.0,27295.8378906,22.0080863333,77.5763074452,3031898.5,6848.85009766,2013
24,NGA,Benue,109.811341697,27.335289856,0.0205157536345,145346.890625,145208.359375,22.9304558777,73.5292973995,5120120.4375,36370.9980469,2013
25,NGA,Delta,173.665742537,26.9351953378,3.08964283932,80008.6201172,79871.1279297,15.2264769054,71.5882319896,5068859.5,19947.0,2013
26,NGA,Ondo,106.29169821,26.7431529095,0.0628812855751,71040.4816356,70923.8399315,19.1826301536,75.9944112392,4312104.5,17777.6425781,2013
27,NGA,Osun,83.5560674892,26.5033990495,0.162875793606,40283.4135437,40215.9280701,21.2349688694,77.935802134,4104390.75,10088.0703125,2013
28,NGA,Kwara,80.7676015595,27.3887439066,0.0342289410882,158515.507614,158334.406174,28.5783241153,77.8926611196,2842683.62891,39616.2092896,2013
29,NGA,Imo,159.277850778,27.3912407248,2.11445981651,24179.6308594,24137.8984375,21.1078373358,72.7475307767,4886913.0,6055.16992188,2013
30,NGA,Kogi,80.7952656749,27.4417780578,0.0441311298143,137024.175293,136866.321777,23.5474045659,77.1727029328,3905378.51562,34280.1601562,2013
31,NGA,Abia,166.998714049,27.3126582792,0.276911574875,22611.8393555,22544.0698242,22.9535556851,71.5460552451,3466013.25,5669.9296875,2013
